Source	Target	Type	Class	FDR_log
CSF1	SHISA5	Directed	cytokine	92.85078088734463
CSF1	SIGLEC1	Directed	cytokine	92.85078088734463
CSF1	SLC16A3	Directed	cytokine	92.85078088734463
CSF1	SLCO2B1	Directed	cytokine	92.85078088734463
CSF1	SOCS1	Directed	cytokine	92.85078088734463
CSF1	SOCS2	Directed	cytokine	92.85078088734463
CSF1	SP110	Directed	cytokine	92.85078088734463
CSF1	SPI1	Directed	cytokine	92.85078088734463
CSF1	SPP1	Directed	cytokine	92.85078088734463
CSF1	STAT1	Directed	cytokine	92.85078088734463
CSF1	STAT2	Directed	cytokine	92.85078088734463
CSF1	TDO2	Directed	cytokine	92.85078088734463
CSF1	TGFB1	Directed	cytokine	92.85078088734463
CSF1	THBS1	Directed	cytokine	92.85078088734463
CSF1	TLR1	Directed	cytokine	92.85078088734463
CSF1	TLR2	Directed	cytokine	92.85078088734463
CSF1	TLR6	Directed	cytokine	92.85078088734463
CSF1	TLR9	Directed	cytokine	92.85078088734463
CSF1	TNF	Directed	cytokine	92.85078088734463
CSF1	TNFAIP3	Directed	cytokine	92.85078088734463
CSF1	TNFRSF1B	Directed	cytokine	92.85078088734463
CSF1	TPI1	Directed	cytokine	92.85078088734463
CSF1	TRAF2	Directed	cytokine	92.85078088734463
