Id	log2FoldChange	padj
ENSG00000114423	1.168	2.00333818900658e-30
ENSG00000114737	2.889	6.25343409322962e-88
ENSG00000114805	1.944	6.8948269303747e-28
ENSG00000115009	2.768	1.32676027577764e-29
ENSG00000115085	3.086	1.25502483714466e-101
ENSG00000115091	1.579	1.12668414630388e-49
ENSG00000115155	2.767	1.15938941354228e-26
ENSG00000115165	3.855	1.82432754334832e-121
ENSG00000115221	2.188	4.01805216033218e-36
ENSG00000115232	3.525	5.35158482533019e-101
ENSG00000115234	1.071	4.87063876934434e-63
ENSG00000115267	4.222	3.888921312412e-131
ENSG00000115271	2.02	2.35855717075616e-59
ENSG00000115325	1.768	7.34905905290726e-48
ENSG00000115350	1.196	7.09412487309214e-41
ENSG00000115355	1.073	3.60312504998704e-31
ENSG00000115386	1.578	0.00814443612399111
ENSG00000115415	3.977	1.17397463156378e-217
ENSG00000115419	1.032	5.65769331748653e-19
ENSG00000115523	6.006	3.37481280635396e-161
ENSG00000115525	2.369	8.11890717182787e-68
ENSG00000115541	1.074	7.55680762213304e-60
ENSG00000115602	3.673	2.75894589872053e-57
ENSG00000115604	1.834	3.4781524831324e-47
ENSG00000115607	4.579	5.57779314293632e-135
ENSG00000115758	1.288	6.03054755925642e-61
ENSG00000115919	2.386	4.19744578836458e-67
